brand,model,price_min,price_max,range_cltc,battery_type,battery_capacity,axis_length,length,width,height,drive_type,acceleration,ad_level,safety_features,selling_points
零跑,B10,10.98,13.98,510,磷酸铁锂,56.2,2735,4515,1885,1655,后驱,7.9,L2,6安全气囊、AEB、L2辅助驾驶,10万级后驱SUV
吉利,银河E5,10.98,14.58,530,磷酸铁锂,60.22,2750,4615,1901,1670,前驱,6.9,L2,6安全气囊、AEB、L2辅助驾驶,神盾短刀电池、性价比高
吉利,银河E8,16.58,22.88,665,磷酸铁锂,76.0,2925,5010,1920,1465,后驱,5.6,L2,6安全气囊、AEB、L2辅助驾驶,45英寸8K屏、中大型轿车
吉利,星愿,6.98,9.88,410,磷酸铁锂,40.16,2650,4135,1805,1570,前驱,8.9,L2,主副驾安全气囊、ESP、胎压监测,入门代步、空间够用
领克,Z20,13.59,15.09,530,磷酸铁锂,61.47,2755,4460,1845,1573,后驱,6.9,L2,6安全气囊、AEB、L2辅助驾驶,后驱操控、快充
深蓝,S05,11.99,14.99,510,磷酸铁锂,56.12,2880,4620,1900,1600,后驱,7.3,L2,6安全气囊、AEB、L2辅助驾驶,后驱SUV、辅助驾驶
深蓝,S07,14.99,19.99,628,磷酸铁锂,79.97,2900,4750,1930,1625,后驱,6.7,L2,6安全气囊、华为乾崑智驾、AEB,华为智驾、增程版可选
阿维塔,07,21.99,28.99,650,磷酸铁锂,82.16,2940,4825,1980,1620,后驱,5.9,L2+,华为ADS、多安全气囊、AEB,华为ADS、设计个性
阿维塔,12,26.98,40.08,700,三元锂,94.5,3020,5020,1999,1460,后驱,5.9,L2+,华为ADS、多安全气囊、AEB,中大型轿跑、华为智驾
智己,LS6,21.99,28.99,625,磷酸铁锂,75.0,2960,4904,1988,1669,后驱,5.9,L2+,IM AD、多安全气囊、AEB,准900V平台、智驾能力强
智己,L6,21.99,33.99,710,磷酸铁锂,83.0,2950,4931,1960,1474,后驱,4.6,L2+,IM AD、多安全气囊、AEB,灵蜥底盘、四轮转向
昊铂,HT,21.39,32.99,670,磷酸铁锂,80.0,2935,4935,1935,1680,后驱,5.8,L2,6安全气囊、ADiGO、AEB,鸥翼门可选、大空间
埃安,AION Y Plus,10.98,14.98,610,磷酸铁锂,69.98,2750,4535,1870,1650,前驱,7.9,L2,6安全气囊、ADiGO、AEB,空间大、610km续航
埃安,AION S,13.98,17.98,610,磷酸铁锂,69.9,2750,4810,1880,1515,前驱,7.9,L2,6安全气囊、ADiGO、AEB,轿车空间大、续航实在
奇瑞,iCAR 03,10.98,16.98,501,磷酸铁锂,65.7,2715,4406,1910,1715,后驱,6.5,L2,6安全气囊、AEB、L2辅助驾驶,方盒子造型、轻越野风格
星途,星纪元ES,19.88,27.88,720,磷酸铁锂,77.0,3000,4945,1978,1467,后驱,5.6,L2,6安全气囊、AEB、L2辅助驾驶,720km续航、800V平台
别克,E5,16.99,20.99,620,三元锂,68.4,2954,4892,1905,1681,前驱,8.6,L2,6安全气囊、eCruise、AEB,合资中大型SUV、终端优惠大
大众,ID.3,16.29,19.29,451,三元锂,57.3,2765,4261,1778,1568,后驱,7.3,L2,6安全气囊、Travel Assist、AEB,德系底盘、终端优惠大
大众,ID.4 CROZZ,19.39,27.39,601,三元锂,84.8,2765,4592,1852,1629,后驱,8.5,L2,6安全气囊、Travel Assist、AEB,合资品质、空间实用
宝马,i3,35.39,41.39,592,三元锂,70.3,2966,4872,1846,1481,后驱,6.2,L2,多安全气囊、驾驶辅助、AEB,豪华品牌、后驱操控
丰田,bZ3,16.98,19.98,616,磷酸铁锂,65.28,2880,4725,1835,1475,前驱,7.4,L2,6安全气囊、TSS、AEB,合资轿车、电池质保
东风,奕派008,20.66,25.26,636,磷酸铁锂,82.28,3025,5002,1972,1732,后驱,7.0,L2,6安全气囊、AEB、L2辅助驾驶,中大型SUV、六座可选
岚图,知音,19.69,23.69,625,磷酸铁锂,79.0,2900,4725,1900,1636,后驱,6.8,L2,6安全气囊、AEB、L2辅助驾驶,续航长、快充能力强
欧拉,好猫,10.58,13.58,501,磷酸铁锂,57.7,2650,4235,1825,1596,前驱,8.5,L2,6安全气囊、AEB、L2辅助驾驶,设计讨喜、小巧好停车
五菱,缤果,5.98,8.88,333,磷酸铁锂,37.9,2560,3950,1708,1580,前驱,9.5,L1,主副驾安全气囊、ESP、胎压监测,低价代步、停车方便
宝骏,云海EV,10.98,13.58,600,磷酸铁锂,69.2,2750,4541,1880,1608,前驱,7.9,L2,6安全气囊、AEB、L2辅助驾驶,600km续航、价格低
腾势,N7,23.98,30.98,702,磷酸铁锂,91.3,2940,4860,1935,1602,后驱,6.8,L2,6安全气囊、天神之眼、AEB,SUV猎装造型、云辇底盘
腾势,D9 EV,37.98,46.98,620,磷酸铁锂,103.0,3110,5250,1960,1920,前驱,9.5,L2,多安全气囊、AEB、L2辅助驾驶,MPV销量标杆、商务家用两用

